Reaction:   ZT= 25    AT  55    ZP 10    AP  20
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT  sig_71Br  sig_72Br  sig_73Br  sig_74Br  sig_75Br  sig_70Se  sig_71Se  sig_72Se  sig_73Se  sig_74Se  sig_69As  sig_70As  sig_71As  sig_72As  sig_73As  sig_68Ge  sig_69Ge  sig_70Ge  sig_71Ge  sig_72Ge  sig_67Ga  sig_68Ga  sig_69Ga  sig_70Ga  sig_71Ga
  71.0  56.4 9.711e+02 9.347e+02 9.626e-01 9.346e+02 1.247e-09   34.0  1.93e-02  1.28e+00  6.03e+00  5.40e-01  0.00e+00  5.44e-03  1.30e+01  1.44e+02  9.76e+01  1.49e+00  8.92e+00  1.74e+01  1.53e+02  1.69e+02  3.74e+01  4.62e+01  1.05e+02  3.74e+01  4.09e+01  1.84e+01  3.87e+00  1.73e+01  1.58e+01  1.60e-03  1.93e-01
  87.8  68.8 1.280e+03 1.178e+03 9.199e-01 1.176e+03 1.197e-03   44.0  5.93e-02  9.82e-01  8.62e+00  3.24e+00  1.85e-03  1.40e+00  2.23e+01  1.13e+02  1.42e+02  7.69e+00  6.82e+00  4.99e+01  1.58e+02  1.40e+02  5.07e+01  8.24e+01  8.36e+01  1.57e+02  4.96e+01  1.39e+01  3.13e+01  3.91e+01  1.38e+01  1.38e+00  7.25e-01
 103.0  79.9 1.450e+03 1.247e+03 8.598e-01 1.247e+03 8.520e-01   50.0  4.26e-02  9.69e-01  1.05e+01  5.53e+00  2.31e-03  2.68e+00  1.69e+01  1.03e+02  1.58e+02  1.16e+01  9.70e+00  7.04e+01  1.31e+02  1.33e+02  4.88e+01  6.60e+01  1.15e+02  1.81e+02  4.00e+01  1.21e+01  6.68e+01  3.51e+01  2.36e+01  4.34e+00  6.11e-01
 117.3  90.4 1.449e+03 1.124e+03 7.754e-01 1.124e+03 8.397e+00   53.0  3.59e-02  1.07e+00  4.97e+00  4.57e-01  0.00e+00  2.09e+00  1.52e+01  9.88e+01  9.46e+01  8.96e-01  1.67e+01  5.68e+01  1.23e+02  1.22e+02  2.81e+01  7.30e+01  1.54e+02  1.40e+02  3.79e+01  9.92e+00  6.19e+01  3.90e+01  3.85e+01  4.12e+00  5.24e-01
 133.7 102.4 1.358e+03 9.080e+02 6.687e-01 9.078e+02 2.558e+01   54.0  3.71e-02  1.34e+00  6.79e-01  4.27e-03  0.00e+00  1.69e+00  1.57e+01  7.27e+01  7.80e+00  6.04e-03  1.46e+01  4.53e+01  1.15e+02  8.60e+01  2.69e+00  9.93e+01  1.30e+02  1.08e+02  3.49e+01  6.11e+00  6.20e+01  6.32e+01  3.68e+01  3.70e+00  4.78e-01
 149.1 113.7 1.272e+03 6.587e+02 5.179e-01 6.587e+02 4.622e+01   55.0  5.11e-02  6.60e-01  1.73e-02  2.59e-06  0.00e+00  1.73e+00  1.94e+01  1.46e+01  1.83e-01  3.75e-06  1.11e+01  4.10e+01  7.21e+01  5.41e+00  8.55e-02  9.32e+01  8.74e+01  9.47e+01  2.77e+01  8.14e-01  8.71e+01  7.03e+01  2.70e+01  3.72e+00  4.47e-01
 163.9 124.5 1.197e+03 4.503e+02 3.762e-01 4.502e+02 6.488e+01   56.0  7.11e-02  4.99e-02  2.51e-04  0.00e+00  0.00e+00  2.19e+00  1.07e+01  9.14e-01  1.35e-03  0.00e+00  8.71e+00  3.71e+01  2.37e+01  1.40e+00  1.36e-03  5.93e+01  6.95e+01  6.17e+01  1.04e+01  6.40e-02  9.06e+01  4.80e+01  2.21e+01  3.60e+00  2.33e-01
  87.7  68.7 1.278e+03 1.158e+03 9.058e-01 1.158e+03 1.131e-03   44.0  5.88e-02  1.01e+00  3.79e+00  3.21e+00  1.83e-03  1.42e+00  2.22e+01  1.12e+02  1.42e+02  7.54e+00  6.83e+00  4.53e+01  1.60e+02  1.39e+02  5.08e+01  8.27e+01  8.37e+01  1.47e+02  4.96e+01  1.39e+01  3.11e+01  3.88e+01  1.36e+01  1.38e+00  7.17e-01
 103.0  79.9 1.450e+03 1.247e+03 8.598e-01 1.247e+03 8.520e-01   50.0  4.26e-02  9.69e-01  1.05e+01  5.53e+00  2.31e-03  2.68e+00  1.69e+01  1.03e+02  1.58e+02  1.16e+01  9.70e+00  7.04e+01  1.31e+02  1.33e+02  4.88e+01  6.60e+01  1.15e+02  1.81e+02  4.00e+01  1.21e+01  6.68e+01  3.51e+01  2.36e+01  4.34e+00  6.11e-01
 117.2  90.3 1.450e+03 1.127e+03 7.771e-01 1.127e+03 8.330e+00   53.0  3.64e-02  1.07e+00  5.03e+00  4.63e-01  0.00e+00  2.11e+00  1.51e+01  9.90e+01  9.50e+01  8.99e-01  1.66e+01  5.71e+01  1.22e+02  1.24e+02  2.81e+01  7.34e+01  1.54e+02  1.40e+02  3.77e+01  1.00e+01  6.24e+01  3.96e+01  3.85e+01  4.11e+00  5.24e-01
 133.6 102.3 1.359e+03 9.100e+02 6.696e-01 9.093e+02 2.547e+01   54.0  3.71e-02  1.33e+00  6.95e-01  4.33e-03  0.00e+00  1.70e+00  1.57e+01  7.26e+01  7.61e+00  5.32e-03  1.47e+01  4.50e+01  1.16e+02  8.62e+01  2.71e+00  9.89e+01  1.30e+02  1.10e+02  3.50e+01  6.07e+00  6.14e+01  6.35e+01  3.67e+01  3.70e+00  4.85e-01
 149.1 113.7 1.272e+03 6.587e+02 5.179e-01 6.587e+02 4.622e+01   55.0  5.11e-02  6.60e-01  1.73e-02  2.59e-06  0.00e+00  1.73e+00  1.94e+01  1.46e+01  1.83e-01  3.75e-06  1.11e+01  4.10e+01  7.21e+01  5.41e+00  8.55e-02  9.32e+01  8.74e+01  9.47e+01  2.77e+01  8.14e-01  8.71e+01  7.03e+01  2.70e+01  3.72e+00  4.47e-01
 163.8 124.5 1.198e+03 4.366e+02 3.644e-01 4.365e+02 6.468e+01   56.0  7.22e-02  5.27e-02  2.14e-04  0.00e+00  0.00e+00  2.17e+00  1.08e+01  9.31e-01  1.41e-03  0.00e+00  8.67e+00  3.71e+01  2.38e+01  1.40e+00  1.38e-03  5.99e+01  5.99e+01  5.48e+01  1.05e+01  3.98e-02  9.20e+01  4.84e+01  2.22e+01  3.56e+00  2.52e-01
  87.9  68.8 1.281e+03 1.166e+03 9.106e-01 1.166e+03 1.231e-03   44.0  5.95e-02  9.78e-01  8.60e+00  3.24e+00  1.86e-03  1.41e+00  2.23e+01  1.13e+02  1.42e+02  7.62e+00  6.78e+00  4.56e+01  1.61e+02  1.40e+02  5.10e+01  8.23e+01  8.44e+01  1.47e+02  4.95e+01  1.40e+01  3.10e+01  3.91e+01  1.35e+01  1.38e+00  7.26e-01
 103.1  80.0 1.451e+03 1.245e+03 8.582e-01 1.245e+03 8.794e-01   50.0  4.11e-02  9.74e-01  1.05e+01  5.62e+00  2.25e-03  2.66e+00  1.68e+01  1.03e+02  1.57e+02  1.17e+01  1.02e+01  7.06e+01  1.30e+02  1.35e+02  4.82e+01  6.55e+01  1.15e+02  1.81e+02  3.98e+01  1.21e+01  6.50e+01  3.53e+01  2.43e+01  4.34e+00  6.17e-01
 117.1  90.2 1.450e+03 1.129e+03 7.787e-01 1.129e+03 8.263e+00   53.0  3.63e-02  1.08e+00  5.10e+00  5.06e-01  0.00e+00  2.15e+00  1.52e+01  9.85e+01  9.54e+01  9.54e-01  1.65e+01  5.71e+01  1.24e+02  1.24e+02  2.81e+01  7.39e+01  1.54e+02  1.40e+02  3.80e+01  1.04e+01  6.26e+01  3.86e+01  3.84e+01  4.14e+00  5.19e-01
