Reaction:   ZT= 27    AT  59    ZP 10    AP  20
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT  sig_75Rb  sig_76Rb  sig_77Rb  sig_78Rb  sig_79Rb  sig_74Kr  sig_75Kr  sig_76Kr  sig_77Kr  sig_78Kr  sig_73Br  sig_74Br  sig_75Br  sig_76Br  sig_77Br  sig_72Se  sig_73Se  sig_74Se  sig_75Se  sig_76Se  sig_71As  sig_72As  sig_73As  sig_74As  sig_75As
  75.2  57.7 9.939e+02 9.620e+02 9.679e-01 9.615e+02 6.350e-09   37.0  9.20e-03  7.21e-01  4.04e+00  3.32e-01  0.00e+00  1.34e-03  7.93e+00  1.00e+02  9.75e+01  1.54e+00  4.54e+00  1.29e+01  1.38e+02  2.06e+02  5.21e+01  2.98e+01  8.99e+01  4.50e+01  8.42e+01  3.73e+01  3.91e+00  2.08e+01  2.44e+01  1.38e-02  1.03e+00
  86.5  66.1 1.209e+03 1.145e+03 9.475e-01 1.147e+03 6.900e-05   43.0  3.30e-02  5.64e-01  4.88e+00  8.55e-07  3.11e-04  2.05e-01  1.46e+01  8.30e+01  1.17e+02  4.21e+00  4.05e+00  2.36e+01  1.52e+02  1.84e+02  6.29e+01  5.34e+01  8.09e+01  1.34e+02  9.70e+01  3.12e+01  2.06e+01  5.09e+01  2.24e+01  1.81e+00  2.22e+00
  97.1  74.0 1.357e+03 1.220e+03 8.992e-01 1.220e+03 2.535e-02   48.0  2.75e-02  5.23e-01  5.06e+00  1.86e+00  1.27e-03  9.38e-01  1.28e+01  7.55e+01  1.26e+02  7.12e+00  3.65e+00  4.45e+01  1.35e+02  1.73e+02  6.77e+01  5.29e+01  7.67e+01  1.95e+02  8.30e+01  2.83e+01  4.80e+01  4.95e+01  2.30e+01  7.96e+00  2.21e+00
 107.0  81.4 1.447e+03 1.249e+03 8.632e-01 1.249e+03 6.908e-01   52.0  2.16e-02  5.24e-01  5.70e+00  1.38e+00  2.08e-04  1.25e+00  1.06e+01  6.97e+01  1.23e+02  4.79e+00  5.75e+00  5.12e+01  1.17e+02  1.70e+02  5.87e+01  4.69e+01  1.12e+02  2.06e+02  7.55e+01  2.54e+01  6.39e+01  4.60e+01  4.03e+01  1.15e+01  1.92e+00
 116.3  88.4 1.444e+03 1.158e+03 8.019e-01 1.158e+03 3.453e+00   53.0  1.93e-02  5.45e-01  2.12e+00  2.42e-01  0.00e+00  1.13e+00  9.80e+00  6.58e+01  7.97e+01  8.66e-01  8.54e+00  4.55e+01  1.10e+02  1.60e+02  3.75e+01  4.79e+01  1.39e+02  1.79e+02  7.24e+01  2.07e+01  6.15e+01  4.62e+01  5.66e+01  1.11e+01  1.76e+00
 125.2  95.0 1.403e+03 1.047e+03 7.460e-01 1.047e+03 8.168e+00   54.0  1.84e-02  6.34e-01  1.40e+00  2.22e-02  0.00e+00  9.57e-01  9.54e+00  5.27e+01  2.72e+01  6.23e-02  9.46e+00  3.84e+01  1.07e+02  1.45e+02  1.33e+01  6.06e+01  1.46e+02  1.55e+02  6.98e+01  1.62e+01  5.68e+01  5.98e+01  6.48e+01  1.03e+01  1.67e+00
 133.8 101.5 1.356e+03 9.218e+02 6.798e-01 9.212e+02 1.431e+01   55.0  1.93e-02  4.64e-01  2.69e-01  5.55e-04  0.00e+00  8.52e-01  9.61e+00  4.70e+01  5.76e+00  6.04e-03  8.62e+00  3.40e+01  1.05e+02  1.01e+02  2.91e+00  6.96e+01  1.31e+02  1.34e+02  6.27e+01  1.04e+01  5.51e+01  7.23e+01  5.99e+01  9.73e+00  1.55e+00
  75.2  57.7 9.939e+02 9.620e+02 9.679e-01 9.615e+02 6.350e-09   37.0  9.20e-03  7.21e-01  4.04e+00  3.32e-01  0.00e+00  1.34e-03  7.93e+00  1.00e+02  9.75e+01  1.54e+00  4.54e+00  1.29e+01  1.38e+02  2.06e+02  5.21e+01  2.98e+01  8.99e+01  4.50e+01  8.42e+01  3.73e+01  3.91e+00  2.08e+01  2.44e+01  1.38e-02  1.03e+00
  86.5  66.1 1.209e+03 1.145e+03 9.475e-01 1.147e+03 6.900e-05   43.0  3.30e-02  5.64e-01  4.88e+00  8.55e-07  3.11e-04  2.05e-01  1.46e+01  8.30e+01  1.17e+02  4.21e+00  4.05e+00  2.36e+01  1.52e+02  1.84e+02  6.29e+01  5.34e+01  8.09e+01  1.34e+02  9.70e+01  3.12e+01  2.06e+01  5.09e+01  2.24e+01  1.81e+00  2.22e+00
  97.1  74.0 1.357e+03 1.220e+03 8.992e-01 1.220e+03 2.535e-02   48.0  2.75e-02  5.23e-01  5.06e+00  1.86e+00  1.27e-03  9.38e-01  1.28e+01  7.55e+01  1.26e+02  7.12e+00  3.65e+00  4.45e+01  1.35e+02  1.73e+02  6.77e+01  5.29e+01  7.67e+01  1.95e+02  8.30e+01  2.83e+01  4.80e+01  4.95e+01  2.30e+01  7.96e+00  2.21e+00
