Reaction:   ZT= 67    AT 165    ZP 10    AP  20
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT sig_181Ir sig_182Ir sig_183Ir sig_184Ir sig_185Ir sig_180Os sig_181Os sig_182Os sig_183Os sig_184Os sig_179Re sig_180Re sig_181Re sig_182Re sig_183Re  sig_178W  sig_179W  sig_180W  sig_181W  sig_182W sig_177Ta sig_178Ta sig_179Ta sig_180Ta sig_181Ta
  88.5  47.3 3.826e+01 3.793e+01 9.914e-01 3.789e+01 2.641e-03   15.0  3.05e+01  5.21e+00  2.19e-02  0.00e+00  0.00e+00  2.01e-02  1.48e+00  4.26e-01  1.39e-03  5.80e-08  2.58e-01  1.64e-03  3.97e-03  2.97e-03  2.12e-05  1.41e-03  2.40e-03  3.51e-05  3.06e-07  7.69e-07  2.70e-08  1.74e-07  5.71e-07  9.13e-21  6.31e-14
  96.0  54.0 2.994e+02 2.288e+02 7.641e-01 2.285e+02 1.474e-01   31.0  1.98e+02  8.95e+00  2.91e-02  0.00e+00  0.00e+00  5.23e+00  1.46e+01  9.22e-01  2.03e-03  0.00e+00  8.37e-01  1.48e-02  1.03e-01  1.10e-02  3.13e-05  6.93e-02  1.57e-02  7.12e-05  4.07e-05  9.70e-06  7.61e-06  2.32e-05  2.40e-04  2.12e-13  1.66e-10
 103.0  60.3 5.401e+02 2.453e+02 4.541e-01 2.452e+02 1.827e+00   40.0  1.92e+02  5.09e+00  1.43e-02  0.00e+00  0.00e+00  2.84e+01  1.79e+01  5.67e-01  1.06e-03  0.00e+00  6.13e-01  1.71e-01  2.51e-01  8.44e-03  1.68e-05  2.29e-01  1.56e-02  1.59e-04  2.19e-04  1.23e-05  6.19e-05  3.18e-04  5.49e-03  6.43e-10  6.45e-09
 110.0  66.5 7.466e+02 1.941e+02 2.600e-01 1.937e+02 1.437e+01   48.0  1.23e+02  2.22e+00  5.04e-03  0.00e+00  0.00e+00  5.36e+01  1.33e+01  2.68e-01  4.14e-04  0.00e+00  4.43e-01  6.70e-01  2.68e-01  4.72e-03  7.15e-06  3.06e-01  1.02e-02  1.04e-03  3.91e-04  9.24e-06  8.81e-04  8.81e-03  2.99e-02  5.09e-08  4.74e-08
 117.1  72.8 9.279e+02 1.248e+02 1.345e-01 1.248e+02 7.057e+01   54.0  5.74e+01  7.11e-01  1.23e-03  0.00e+00  0.00e+00  5.64e+01  7.41e+00  1.00e-01  1.23e-04  0.00e+00  1.15e+00  1.03e+00  1.45e-01  2.11e-03  2.41e-06  2.58e-01  7.14e-03  3.04e-03  3.97e-04  5.35e-06  9.48e-03  8.35e-02  6.56e-02  5.90e-07  1.13e-07
 123.7  78.7 1.072e+03 6.723e+01 6.271e-02 6.722e+01 1.930e+02   59.0  1.86e+01  1.52e-01  1.79e-04  0.00e+00  0.00e+00  4.11e+01  3.22e+00  2.99e-02  2.78e-05  0.00e+00  2.37e+00  1.06e+00  1.09e-01  7.84e-04  6.59e-07  1.63e-01  1.07e-02  4.14e-03  2.99e-04  2.56e-06  9.35e-02  2.41e-01  7.20e-02  1.87e-06  1.31e-07
 130.1  84.4 1.170e+03 3.176e+01 2.715e-02 3.171e+01 3.368e+02   62.0  3.77e+00  1.91e-02  0.00e+00  0.00e+00  0.00e+00  2.20e+01  1.02e+00  6.21e-03  3.22e-06  0.00e+00  3.23e+00  7.58e-01  4.43e-02  2.14e-04  1.18e-07  9.66e-02  1.93e-02  4.39e-03  1.76e-04  9.53e-07  3.94e-01  3.49e-01  5.14e-02  2.91e-06  1.14e-07
 134.1  88.0 1.206e+03 1.885e+01 1.563e-02 1.886e+01 4.124e+02   64.0  1.12e+00  4.12e-03  0.00e+00  0.00e+00  0.00e+00  1.26e+01  4.11e-01  1.89e-03  0.00e+00  0.00e+00  3.10e+00  4.34e-01  1.28e-02  8.04e-05  2.49e-08  7.67e-02  2.35e-02  3.39e-03  1.09e-04  4.28e-07  6.84e-01  3.40e-01  3.42e-02  3.09e-06  9.14e-08
 141.8  94.9 1.238e+03 7.156e+00 5.780e-03 7.160e+00 5.249e+02   66.0  8.13e-02  1.53e-04  0.00e+00  0.00e+00  0.00e+00  3.11e+00  5.24e-02  1.36e-04  0.00e+00  0.00e+00  2.35e+00  1.76e-01  1.36e-03  9.36e-06  0.00e+00  8.76e-02  2.08e-02  1.60e-03  3.30e-05  7.19e-08  1.05e+00  2.13e-01  1.13e-02  2.54e-06  4.50e-08
 149.3 101.6 1.249e+03 2.686e+00 2.150e-03 2.688e+00 6.078e+02   68.0  5.11e-03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  5.50e-01  5.06e-03  5.56e-06  0.00e+00  0.00e+00  1.03e+00  3.95e-02  2.29e-04  8.62e-07  0.00e+00  8.56e-02  1.05e-02  5.39e-04  7.75e-06  9.65e-09  8.67e-01  8.95e-02  2.67e-03  1.55e-06  1.68e-08
