Reaction:   ZT= 60    AT 150    ZP 10    AP  20
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT sig_168Yb sig_169Yb sig_170Yb sig_167Tm sig_168Tm sig_169Tm sig_166Er sig_167Er sig_168Er
 163.5 124.3 1.321e+03 0.000e+00 0.000e+00 0.000e+00 6.023e+01   72.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 172.4 132.2 1.300e+03 0.000e+00 0.000e+00 0.000e+00 7.838e+01   73.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 172.4 132.2 1.300e+03 0.000e+00 0.000e+00 0.000e+00 7.838e+01   73.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 127.7  92.7 1.296e+03 2.652e-03 2.046e-06 2.655e-03 6.426e+00   64.0  0.00e+00  0.00e+00  0.00e+00  5.03e-04  0.00e+00  0.00e+00  2.14e-03  9.26e-06  0.00e+00
 127.7  92.7 1.296e+03 2.652e-03 2.046e-06 2.655e-03 6.426e+00   64.0  0.00e+00  0.00e+00  0.00e+00  5.03e-04  0.00e+00  0.00e+00  2.14e-03  9.26e-06  0.00e+00
 127.7  92.7 1.296e+03 2.652e-03 2.046e-06 2.655e-03 6.426e+00   64.0  0.00e+00  0.00e+00  0.00e+00  5.03e-04  0.00e+00  0.00e+00  2.14e-03  9.26e-06  0.00e+00
 144.0 107.1 1.349e+03 4.829e-05 3.579e-08 4.831e-05 2.587e+01   68.0  0.00e+00  0.00e+00  0.00e+00  3.18e-06  0.00e+00  0.00e+00  4.50e-05  1.05e-07  0.00e+00
 127.7  92.7 1.296e+03 2.652e-03 2.046e-06 2.655e-03 6.426e+00   64.0  0.00e+00  0.00e+00  0.00e+00  5.03e-04  0.00e+00  0.00e+00  2.14e-03  9.26e-06  0.00e+00
 144.0 107.1 1.349e+03 4.829e-05 3.579e-08 4.831e-05 2.587e+01   68.0  0.00e+00  0.00e+00  0.00e+00  3.18e-06  0.00e+00  0.00e+00  4.50e-05  1.05e-07  0.00e+00
 127.7  92.7 1.296e+03 2.652e-03 2.046e-06 2.655e-03 6.426e+00   64.0  0.00e+00  0.00e+00  0.00e+00  5.03e-04  0.00e+00  0.00e+00  2.14e-03  9.26e-06  0.00e+00
 144.0 107.1 1.349e+03 4.829e-05 3.579e-08 4.831e-05 2.587e+01   68.0  0.00e+00  0.00e+00  0.00e+00  3.18e-06  0.00e+00  0.00e+00  4.50e-05  1.05e-07  0.00e+00
 163.5 124.3 1.321e+03 0.000e+00 0.000e+00 0.000e+00 6.023e+01   72.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 172.4 132.2 1.300e+03 0.000e+00 0.000e+00 0.000e+00 7.838e+01   73.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 144.0 107.1 1.349e+03 4.829e-05 3.579e-08 4.831e-05 2.587e+01   68.0  0.00e+00  0.00e+00  0.00e+00  3.18e-06  0.00e+00  0.00e+00  4.50e-05  1.05e-07  0.00e+00
 163.5 124.3 1.321e+03 0.000e+00 0.000e+00 0.000e+00 6.023e+01   72.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 172.4 132.2 1.300e+03 0.000e+00 0.000e+00 0.000e+00 7.838e+01   73.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
