Reaction:   ZT= 66    AT 164    ZP 18    AP  40
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT sig_200Po sig_201Po sig_202Po sig_203Po sig_204Po sig_199Bi sig_200Bi sig_201Bi sig_202Bi sig_203Bi sig_198Pb sig_199Pb sig_200Pb sig_201Pb sig_202Pb sig_197Tl sig_198Tl sig_199Tl sig_200Tl sig_201Tl sig_196Hg sig_197Hg sig_198Hg sig_199Hg sig_200Hg
 242.0 111.9 6.223e+02 6.226e-03 1.000e-05 6.221e-03 5.642e+02   77.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  3.21e-05  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.40e-05  0.00e+00  0.00e+00  0.00e+00  0.00e+00  4.89e-05  1.15e-06  3.84e-08  1.35e-09  0.00e+00  5.93e-03  1.98e-04  1.39e-06  2.55e-09  1.58e-11
 256.0 123.1 5.883e+02 3.386e-04 5.755e-07 3.388e-04 5.417e+02   77.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  3.95e-07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  3.19e-04  1.91e-05  6.21e-08  3.32e-10  4.81e-13
 262.0 128.0 5.748e+02 1.391e-04 2.421e-07 1.388e-04 5.321e+02   77.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  7.07e-09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.33e-04  6.12e-06  1.37e-08  1.05e-10  0.00e+00
 280.0 142.4 5.378e+02 1.100e-06 2.045e-09 1.099e-06 5.036e+02   77.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.10e-06  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 162.0  47.6 5.599e+00 5.431e+00 9.700e-01 5.433e+00 1.369e-01   10.0  3.98e+00  1.26e+00  8.22e-03  2.14e-06  0.00e+00  6.64e-04  1.08e-01  4.85e-02  2.15e-04  7.04e-08  2.47e-02  2.53e-04  3.69e-04  1.34e-04  8.07e-07  5.56e-05  1.27e-04  3.55e-06  1.03e-08  3.15e-08  1.39e-06  2.86e-09  2.62e-08  2.23e-20  1.78e-14
 172.0  55.6 1.444e+02 9.212e+01 6.380e-01 9.208e+01 2.178e+01   43.0  7.92e+01  7.36e+00  4.93e-02  1.44e-05  0.00e+00  1.57e+00  3.30e+00  3.46e-01  1.93e-03  1.28e-06  2.52e-01  9.40e-03  1.72e-02  1.27e-03  7.77e-06  1.13e-02  2.44e-03  3.12e-05  4.79e-06  8.94e-07  1.13e-06  3.37e-06  3.78e-05  9.62e-13  6.90e-11
 175.0  58.0 2.132e+02 1.002e+02 4.697e-01 1.001e+02 5.196e+01   49.0  8.57e+01  6.36e+00  3.54e-02  2.01e-06  0.00e+00  3.40e+00  3.96e+00  3.49e-01  1.97e-03  1.32e-06  2.74e-01  2.13e-02  2.31e-02  1.42e-03  8.95e-06  2.07e-02  2.89e-03  3.78e-05  9.74e-06  1.09e-06  3.48e-06  8.70e-06  1.77e-04  1.49e-11  2.35e-10
 179.0  61.2 3.040e+02 8.267e+01 2.719e-01 8.266e+01 1.200e+02   55.0  6.86e+01  3.41e+00  1.37e-02  0.00e+00  0.00e+00  6.29e+00  3.75e+00  2.60e-01  1.34e-03  7.29e-07  2.34e-01  4.52e-02  2.51e-02  1.29e-03  7.74e-06  3.23e-02  2.83e-03  4.61e-05  1.65e-05  1.09e-06  7.87e-06  2.95e-05  7.21e-04  2.09e-10  7.54e-10
 182.0  63.6 3.691e+02 6.036e+01 1.635e-01 6.039e+01 1.858e+02   60.0  4.71e+01  1.61e+00  4.85e-03  0.00e+00  0.00e+00  8.14e+00  3.03e+00  1.67e-01  7.30e-04  2.76e-07  1.77e-01  6.50e-02  2.27e-02  1.01e-03  5.85e-06  3.68e-02  2.39e-03  5.89e-05  1.99e-05  9.60e-07  2.19e-05  1.06e-04  1.56e-03  9.38e-10  1.42e-09
 193.0  72.5 5.639e+02 1.160e+01 2.057e-02 1.161e+01 4.171e+02   70.0  3.96e+00  3.31e-02  2.79e-05  0.00e+00  0.00e+00  6.79e+00  5.41e-01  9.28e-03  1.47e-05  0.00e+00  1.46e-01  8.06e-02  6.14e-03  1.54e-04  9.13e-10  2.14e-02  6.46e-04  1.72e-04  1.49e-05  2.81e-07  3.27e-04  5.76e-03  6.32e-03  2.73e-08  3.40e-09
