Reaction:   ZT= 76    AT 190    ZP 10    AP  22
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT sig_208Rn sig_209Rn sig_210Rn sig_211Rn sig_212Rn sig_207At sig_208At sig_209At sig_210At sig_211At sig_206Po sig_207Po sig_208Po sig_209Po sig_210Po sig_205Bi sig_206Bi sig_207Bi sig_208Bi sig_209Bi sig_204Pb sig_205Pb sig_206Pb sig_207Pb sig_208Pb
 142.5  89.6 1.144e+03 9.426e-02 8.240e-05 9.425e-02 9.780e+02   67.0  6.94e-04  0.00e+00  0.00e+00  0.00e+00  0.00e+00  4.00e-02  2.58e-04  0.00e+00  0.00e+00  0.00e+00  2.38e-02  4.59e-04  4.74e-06  3.98e-08  0.00e+00  4.84e-04  6.50e-05  2.97e-06  5.10e-08  2.42e-10  2.52e-02  3.21e-03  8.30e-05  1.21e-09  1.34e-11
 148.5  95.0 1.168e+03 3.372e-02 2.887e-05 3.376e-02 1.025e+03   69.0  3.73e-05  0.00e+00  0.00e+00  0.00e+00  0.00e+00  5.96e-03  2.22e-05  0.00e+00  0.00e+00  0.00e+00  7.15e-03  8.79e-05  3.44e-07  0.00e+00  0.00e+00  4.78e-04  2.71e-05  9.15e-07  1.60e-08  5.29e-11  1.89e-02  1.04e-03  1.66e-05  6.20e-10  6.21e-12
 151.0  97.3 1.175e+03 2.111e-02 1.797e-05 2.116e-02 1.040e+03   70.0  5.67e-07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.57e-03  7.31e-06  0.00e+00  0.00e+00  0.00e+00  3.27e-03  2.76e-05  3.25e-08  0.00e+00  0.00e+00  4.03e-04  1.22e-05  4.00e-07  9.45e-09  2.44e-11  1.42e-02  6.15e-04  8.66e-06  4.61e-10  4.53e-12
 155.5 101.3 1.183e+03 1.092e-02 9.234e-06 1.092e-02 1.062e+03   71.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  5.36e-04  6.93e-08  0.00e+00  0.00e+00  0.00e+00  6.92e-04  4.50e-06  0.00e+00  0.00e+00  0.00e+00  1.58e-04  3.78e-06  1.79e-07  3.18e-09  2.52e-12  9.22e-03  3.06e-04  2.72e-06  2.72e-10  2.74e-12
 161.0 106.2 1.189e+03 3.918e-03 3.295e-06 3.919e-03 1.081e+03   72.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  6.90e-05  0.00e+00  0.00e+00  0.00e+00  0.00e+00  6.33e-05  5.75e-08  0.00e+00  0.00e+00  0.00e+00  3.07e-05  8.30e-07  2.63e-08  7.05e-10  0.00e+00  3.66e-03  9.29e-05  8.63e-07  1.57e-10  1.41e-12
 167.5 112.0 1.191e+03 9.044e-04 7.594e-07 9.040e-04 1.096e+03   74.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.96e-06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.51e-06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  4.03e-06  1.21e-07  2.50e-09  7.09e-11  0.00e+00  8.64e-04  3.15e-05  3.07e-07  8.71e-11  5.00e-13
 173.0 117.0 1.190e+03 2.938e-04 2.469e-07 2.936e-04 1.104e+03   75.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  6.55e-07  7.14e-09  0.00e+00  0.00e+00  0.00e+00  2.77e-04  1.60e-05  1.08e-07  4.52e-11  1.54e-13
 176.0 119.7 1.189e+03 1.850e-04 1.556e-07 1.848e-04 1.107e+03   75.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.35e-07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.74e-04  1.08e-05  5.22e-08  2.87e-11  6.18e-14
 181.5 124.6 1.185e+03 1.043e-04 8.803e-08 1.044e-04 1.110e+03   76.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.03e-09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.00e-04  4.31e-06  8.46e-09  1.06e-11  0.00e+00
 187.0 129.5 1.180e+03 4.033e-05 3.417e-08 4.029e-05 1.110e+03   77.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  3.94e-05  9.25e-07  1.07e-09  3.07e-12  0.00e+00
