C (48)Ca+(206)Pb -> (254)No                                               
H:  X  Y  '253No  '
C 253No  
  50.4  0.000E+00;  19.8  0.873E-04;  23.6  0.188E-04;  25.6  0.548E-05;
  28.9  0.420E-06;  19.8  0.873E-04;  20.4  0.745E-04;  23.0  0.238E-04;
  23.3  0.214E-04;  23.3  0.206E-04;  23.6  0.188E-04;  24.2  0.126E-04;
  25.2  0.684E-05;  25.6  0.548E-05;  28.9  0.420E-06;  30.7  0.000E+00;
H:  X  Y  '252No  '
C 252No  
  50.4  0.000E+00;  19.8  0.198E-03;  23.6  0.116E-02;  25.6  0.811E-03;
  28.9  0.190E-03;  19.8  0.198E-03;  20.4  0.350E-03;  23.0  0.122E-02;
  23.3  0.123E-02;  23.3  0.121E-02;  23.6  0.116E-02;  24.2  0.121E-02;
  25.2  0.975E-03;  25.6  0.811E-03;  28.9  0.190E-03;  30.7  0.608E-04;
H:  X  Y  '251No  '
C 251No  
  50.4  0.142E-07;  19.8  0.000E+00;  23.6  0.554E-07;  25.6  0.633E-05;
  28.9  0.123E-03;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.219E-07;
  23.3  0.395E-07;  23.3  0.440E-07;  23.6  0.554E-07;  24.2  0.466E-06;
  25.2  0.433E-05;  25.6  0.633E-05;  28.9  0.123E-03;  30.7  0.237E-03;
H:  X  Y  '250No  '
C 250No  
  50.4  0.316E-06;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.539E-09;
H:  X  Y  '249No  '
C 249No  
  50.4  0.232E-06;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '253Md  '
C 253Md  
  50.4  0.000E+00;  19.8  0.110E-05;  23.6  0.213E-05;  25.6  0.130E-05;
  28.9  0.290E-06;  19.8  0.110E-05;  20.4  0.142E-05;  23.0  0.223E-05;
